자치구,총 계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,오차
종로구,2031.0,269.9453551912568,150550.0,139498,11052,29127,7.3410826967784795,19.34706077715045,-667.83468386305
용산구,3258.0,3602.2727272727275,223433.0,209849,13584,39671,6.079674891354455,17.75521073431409,162.9167359961989
성동구,4409.0,2220.5263157894738,284258.0,276964,7294,50098,2.5659787939125724,17.624130191586517,983.2248066428356
광진구,3828.0,1138.8349514563106,350925.0,335105,15820,57768,4.508085773313386,16.46163710194486,39.771229097407286
동대문구,3268.0,40750.0,360211.0,341987,18224,67880,5.059256935518349,18.844510578522033,-570.7146772893634
중랑구,4512.0,929.3413173652696,387433.0,381966,5467,80250,1.4110826904264737,20.713258808619813,525.2853933911583
성북구,4578.0,1529.1814946619218,436901.0,424881,12020,81280,2.75119535089185,18.603756915182156,322.33893451319454
강북구,3331.0,8902.702702702703,291372.0,286400,4972,69366,1.7064096756036955,23.80668012025864,-133.45242123089793
도봉구,2378.0,79166.66666666666,308864.0,306346,2518,71572,0.8152455449647742,23.172658516369665,-1181.5525154067964
노원구,3006.0,1826.923076923077,501727.0,497064,4663,97596,0.929389887329165,19.452012747968517,-1602.1055375338447
은평구,5027.0,859.3511450381679,470185.0,466007,4178,95209,0.8885864074779075,20.249263587736742,590.3812661762049
서대문구,3793.0,,320378.0,305986,14392,58797,4.492193596314353,18.35238374669921,170.84844021055505
마포구,3155.0,2742.3423423423424,374962.0,363645,11317,58592,3.0181725081474924,15.62611677983369,-763.9125671355032
양천구,4447.0,85825.0,437774.0,434528,3246,77423,0.7414784797635309,17.685609469726387,186.59262864676657
강서구,3546.0,1070.2970297029703,567159.0,561386,5773,103825,1.017880347486331,18.306154006195793,-1417.8446961273385
구로구,5003.0,1132.2660098522167,414271.0,391387,22884,81360,5.523920332342838,19.63931822406106,870.3731862397308
금천구,3169.0,,240680.0,227160,13520,46198,5.617417317600133,19.194781452551105,-19.85134794227133
영등포구,4566.0,,397942.0,375148,22794,68650,5.727970407747863,17.251257720974415,522.1503093702049
동작구,3024.0,466.29213483146066,389576.0,378649,10927,71335,2.8048442409183316,18.31093291167834,-974.3656186039798
관악구,5772.0,645.7364341085271,497827.0,481958,15869,86455,3.187653542294813,17.366474699042037,1185.097890735422
서초구,5395.0,1826.431718061674,412275.0,407840,4435,66556,1.0757382814868717,16.14359347522891,1273.2249920924123
강남구,7721.0,858.4821428571429,559720.0,554280,5440,88662,0.9719145286929178,15.840420210105052,2797.5994841021666
송파구,4031.0,1236.7713004484306,659661.0,653736,5925,110520,0.8981886150613725,16.7540600399296,-1435.757394015457
강동구,3549.0,521.5411558669002,465549.0,461367,4182,84456,0.8982942719241154,18.141162369589452,-862.4138380657641
