구분,살인 발생,살인 검거,강도 발생,강도 검거,강간·강제추행 발생,강간·강제추행 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,살인 검거율,강도 검거율,강간·강제추행 검거율,절도 검거율,폭력 검거율
구분,,,,,,,,,,,,,,,
종로구,2.0,3.0,8.0,8.0,228.0,988.0,1313.0,932.0,1587.0,1353.0,150.0,100.0,433.3333333333333,70.98248286367098,85.25519848771268
중구,1.0,2.0,5.0,4.0,194.0,123.0,1365.0,724.0,1506.0,1266.0,200.0,80.0,63.4020618556701,53.040293040293044,84.06374501992032
용산구,5.0,3.0,7.0,7.0,280.0,238.0,978.0,508.0,1697.0,1337.0,60.0,100.0,85.0,51.94274028629857,78.78609310548026
성동구,2.0,2.0,2.0,2.0,125.0,97.0,979.0,538.0,1086.0,958.0,100.0,100.0,77.60000000000001,54.95403472931562,88.21362799263352
광진구,6.0,5.0,0.0,0.0,230.0,174.0,1670.0,831.0,1713.0,1488.0,83.33333333333334,0.0,75.65217391304347,49.76047904191617,86.86514886164623
동대문구,4.0,4.0,2.0,2.0,125.0,106.0,1556.0,823.0,1566.0,1296.0,100.0,100.0,84.8,52.89203084832905,82.75862068965517
중랑구,2.0,2.0,2.0,2.0,150.0,121.0,1508.0,882.0,1937.0,1664.0,100.0,100.0,80.66666666666666,58.48806366047745,85.90604026845638
성북구,3.0,3.0,1.0,1.0,158.0,129.0,1143.0,715.0,1444.0,1277.0,100.0,100.0,81.64556962025317,62.55468066491689,88.43490304709142
강북구,5.0,4.0,5.0,6.0,177.0,147.0,872.0,589.0,1773.0,1597.0,80.0,120.0,83.05084745762711,67.54587155963303,90.07332205301748
도봉구,3.0,3.0,0.0,0.0,70.0,54.0,969.0,546.0,1099.0,966.0,100.0,0.0,77.14285714285715,56.34674922600619,87.89808917197452
노원구,3.0,3.0,3.0,1.0,180.0,151.0,1504.0,729.0,2206.0,1757.0,100.0,33.33333333333333,83.88888888888889,48.47074468085106,79.64641885766093
은평구,4.0,4.0,5.0,4.0,176.0,146.0,1497.0,946.0,1805.0,1558.0,100.0,80.0,82.95454545454545,63.19305277221109,86.31578947368422
서대문구,5.0,4.0,6.0,6.0,157.0,144.0,1114.0,565.0,1092.0,886.0,80.0,100.0,91.71974522292994,50.7181328545781,81.13553113553114
마포구,2.0,2.0,2.0,1.0,436.0,368.0,1451.0,653.0,2205.0,1790.0,100.0,50.0,84.40366972477065,45.00344589937974,81.17913832199547
양천구,2.0,2.0,3.0,3.0,114.0,92.0,1474.0,781.0,1576.0,1252.0,100.0,100.0,80.7017543859649,52.98507462686567,79.44162436548223
강서구,3.0,3.0,7.0,7.0,261.0,195.0,1991.0,1185.0,2401.0,2201.0,100.0,100.0,74.71264367816092,59.51783023606229,91.6701374427322
구로구,11.0,11.0,8.0,9.0,217.0,145.0,1565.0,841.0,2056.0,1726.0,100.0,112.5,66.82027649769586,53.73801916932908,83.94941634241245
금천구,2.0,1.0,3.0,3.0,127.0,87.0,1118.0,662.0,1327.0,1134.0,50.0,100.0,68.50393700787401,59.2128801431127,85.4559155990957
영등포구,5.0,6.0,10.0,9.0,327.0,237.0,2062.0,953.0,2415.0,1981.0,120.0,90.0,72.47706422018348,46.21726479146459,82.02898550724638
동작구,2.0,3.0,5.0,5.0,212.0,107.0,1195.0,588.0,1321.0,1038.0,150.0,100.0,50.47169811320755,49.20502092050209,78.57683573050718
관악구,10.0,8.0,9.0,8.0,327.0,279.0,1966.0,1050.0,2567.0,2066.0,80.0,88.88888888888889,85.3211009174312,53.40793489318413,80.48305414881185
서초구,3.0,2.0,3.0,3.0,431.0,328.0,1921.0,1024.0,2101.0,1741.0,66.66666666666666,100.0,76.10208816705337,53.305570015616865,82.86530223702998
강남구,12.0,10.0,11.0,10.0,667.0,534.0,2495.0,1207.0,3762.0,3259.0,83.33333333333334,90.9090909090909,80.0599700149925,48.37675350701402,86.6294524189261
송파구,2.0,2.0,5.0,6.0,290.0,220.0,2201.0,1033.0,2669.0,2148.0,100.0,120.0,75.86206896551724,46.933212176283504,80.47958036717871
강동구,5.0,6.0,5.0,5.0,157.0,134.0,1672.0,900.0,1872.0,1599.0,120.0,100.0,85.35031847133759,53.827751196172244,85.41666666666666
